SMILES	abs_wl_max	abs_intensity	ems_wl_max	ems_intensity
CC1=CC2=C(C=C1N)SC3=CC(=[N+](C)C)C=CC3=N2	628.0	1.0	658.0	1.0
C1=CC=C2C(=C1)OC3=CC=CC=C3S2	237.0	1.0		
C1=CC=C2C(=C1)NC3=CC=CC=C3O2	239.0	1.0	389.0	1.0
CCN(CC)C1=CC2=C(C=C1)N=C3C=CC(=[N+](CC)CC)C=C3O2.[O-]Cl(=O)(=O)=O	642.5	1.0	665.0	1.0
C1=CC=C2C(=C1)C(=CC3=C2N=C4C=CC(=N)C=C4O3)N.OCl(=O)(=O)=O	603.0	1.0	622.0	1.0
CCN(CC)C1=CC2=C(C=C1)N=C3C4=CC=CC=C4C(=O)C=C3O2	519.4	1.0	580.0	1.0
CC[N+](=C1C=CC2=NC3=C(C=C(C4=CC=CC=C43)N)OC2=C1)CC.[O-]Cl(=O)(=O)=O	627.5	1.0	623.5	1.0
CCNC1=CC2=C(C3=CC=CC=C31)N=C4C=C(C(=[NH+]CC)C=C4O2)C.[O-]Cl(=O)(=O)=O	613.25	1.0	641.0	1.0
C1=CC=C(C=C1)N=NC2=CC=CC=C2	319.0	1.0		
CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O	430.0	1.0		
CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)S(=O)(=O)[O-]	466.0	1.0		
C1=CC=C(C=C1)N=NC2=C(C=CC3=CC(=CC(=C32)S(=O)(=O)[O-])S(=O)(=O)[O-])O	478.0	1.0		
C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=C(C=C3)S(=O)(=O)[O-])O	486.0	1.0		
C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=C(C4=CC=CC=C43)S(=O)(=O)[O-])O	503.0	1.0		
C1=CC=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O	481.0	1.0		
CC1=CC(=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O)C	498.0	1.0		
C1=CC(=CC=C1N)N=NC2=C(C3=C(C=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])O)O	555.0	1.0		
CC(=O)NC1=C2C(=CC(=C1)S(=O)(=O)[O-])C=C(C(=C2O)N=NC3=CC=CC=C3)S(=O)(=O)[O-]	530.0	1.0		
C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C(C4=CC=CC=C4C(=C3)S(=O)(=O)[O-])O	512.0	1.0		
C1=CC=C(C=C1)NC2=C3C(=C(C=C2)N=NC4=C5C(=CC(=C4)S(=O)(=O)[O-])C=C(C=C5O)S(=O)(=O)[O-])C=CC=C3S(=O)(=O)[O-]	563.0	1.0		
C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N=NC3=C(C=CC4=CC=CC=C43)O	504.0	1.0		
CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C(C=CC4=CC=CC=C43)O)C	518.0	1.0		
C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC4=CC=C(C=C4)[N+](=O)[O-])N)O	619.0	1.0		
C1=CC(=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-]	513.0	1.0		
C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-]	483.0	1.0		
CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=CC=CC=C4C(=C3)S(=O)(=O)[O-])N)C)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N	497.0	1.0		
CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=C(C=C3)C(=CC(=C4N)S(=O)(=O)[O-])S(=O)(=O)[O-])O)C)N=NC5=C(C6=C(C=C5)C(=CC(=C6N)S(=O)(=O)[O-])S(=O)(=O)[O-])O	606.0	1.0		
CCN1/C(=C/C2=[N+](C3=CC=CC=C3C=C2)CC)/C=CC4=CC=CC=C41	524.25	1.0		
CCN1/C(=C/C=C/C2=[N+](C3=CC=CC=C3C=C2)CC)/C=CC4=CC=CC=C41	603.5	1.0	624.5	1.0
CCN1/C(=C/C=C/C=C/C2=[N+](C3=CC=CC=C3C=C2)CC)/C=CC4=CC=CC=C41	711.0	1.0	735.0	1.0
CCN1C=C/C(=C\C2=CC=[N+](C3=CC=CC=C23)CC)/C4=CC=CC=C41	592.0	1.0		
CCN1C=C/C(=C\C=C\C2=CC=[N+](C3=CC=CC=C23)CC)/C4=CC=CC=C41	709.5	1.0	716.5	1.0
CCN1C=C/C(=C\C=C\C=C\C2=CC=[N+](C3=CC=CC=C23)CC)/C4=CC=CC=C41	818.0	1.0	834.0	1.0
CCN\1C2=CC=CC=C2O/C1=C/C=C/C3=[N+](C4=CC=CC=C4O3)CC	485.0	1.0	497.5	1.0
CCN\1C2=CC=CC=C2O/C1=C\C=C\C=C\C3=[N+](C4=CC=CC=C4O3)CC	582.0	1.0	603.5	1.0
CCN1C2=CC=CC=C2OC1=CC=CC=CC=CC3=[N+](C4=CC=CC=C4O3)CC	687.5	1.0	712.0	1.0
CCN1C2=CC=CC=C2C(C1=CC=CC3=[N+](C4=CC=CC=C4C3(C)C)CC)(C)C	544.25	1.0	557.0	1.0
CCN\1C2=CC=CC=C2C(/C1=C/C=C/C=C/C3=[N+](C4=CC=CC=C4C3(C)C)CC)(C)C	637.5	1.0	657.0	1.0
CC1(C(=[N+](C2=C1C3=CC=CC=C3C=C2)CCCCS(=O)(=O)[O-])/C=C/C=C/C=C/C=C/4\C(C5=C(N4CCCCS(=O)(=O)[O-])C=CC6=CC=CC=C65)(C)C)C	789.0	1.0	817.0	1.0
CCN\1C2=CC=CC=C2S/C1=C\C=C\C3=[N+](C4=CC=CC=C4S3)CC	559.25	1.0	571.0	1.0
CCN\1C2=CC=CC=C2S/C1=C/C=C/C=C/C3=[N+](C4=CC=CC=C4S3)CC	655.75	1.0	673.5	1.0
CCN\1C2=CC=CC=C2S/C1=C/C=C/C=C/C=C/C3=[N+](C4=CC=CC=C4S3)CC	763.25	1.0		
CCCCN1C(=O)C(=C/C=C/C=C\2/N(C3=CC=CC=C3O2)CCCS(=O)(=O)[O-])C(=O)N(C1=S)CCCC	559.5	1.0	579.0	1.0
CC1=CC(=C(C#N)C#N)C=C(O1)/C=C/C2=CC=C(C=C2)N(C)C	468.0	1.0	624.5	1.0
CCN1/C(=C/C(=C/C2=[N+](C3=C(S2)C=CC4=CC=CC=C43)CC)/C)/SC5=C1C6=CC=CC=C6C=C5	575.5	1.0	610.5	1.0
CN(C)C1=CC=C(C=C1)C(=N)C2=CC=C(C=C2)N(C)C.Cl	431.25	1.0	499.5	1.0
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.C(=O)(C(=O)O)O.C(=O)(C(=O)[O-])O.C(=O)(C(=O)[O-])O	616.5	1.0		
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C	590.5	1.0	638.0	1.0
CC1=CC(=C(C2=CC=C(C=C2)N)C3=CC=C(C=C3)N)C=CC1=N.Cl	543.0	1.0		
CC[N+](C)(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.Cl[Zn]Cl	632.0	1.0		
C1=CC(=NC2=CC=C(C=C2)S(=O)(=O)[O-])C=CC1=C(C3=CC=C(C=C3)NC4=CC=C(C=C4)S(=O)(=O)O)C5=CC=C(C=C5)NC6=CC=C(C=C6)S(=O)(=O)[O-]	590.0	1.0		
C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O	554.0	1.0		
C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O	558.0	1.0		
CC1=C(C=CC(=C1)C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C=C4)O)C)O	573.0	1.0		
CC1=CC(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O	597.0	1.0		
C1=CC2=C3C(=C1)C4=CC=CC5=C4C(=CC=C5)C3=CC=C2	435.75	1.0	435.5	1.0
C1=CC2=C3C(=C1)C4=CC=CC5=C4C(=CC=C5)C3=CC=C2	507.0	1.0	566.0	1.0
CC(C)(C)C1=CC(=C(C=C1)C(C)(C)C)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9=C(C=CC(=C9)C(C)(C)C)C(C)(C)C)C2=O	528.0	1.0	537.0	1.0
C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O	500.25	1.0	540.0	1.0
C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C=C4OC5=CC(=C(C=C35)Cl)O)O)Cl	502.0	1.0	522.0	1.0
C1=CC2=C(C=C1O)OC3=C(C24C5=C(C(=C(C(=C5Cl)Cl)Cl)Cl)C(=O)O4)C=CC(=C3)O	509.0	1.0	527.0	1.0
C1=CC=C(C(=C1)C2=C3C=C(C(=O)C(=C3OC4=C(C(=C(C=C24)Br)[O-])Br)Br)Br)C(=O)[O-]	524.75	1.0	543.0	1.0
C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)I)[O-])I)I)[O-])I	535.0	1.0	558.0	1.0
C1=C2C(=C3C=C(C(=O)C(=C3OC2=C(C(=C1I)[O-])I)I)I)C4=C(C(=C(C(=C4Cl)Cl)Cl)Cl)C(=O)[O-]	559.0	1.0	571.5	1.0
CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C	261.0	1.0	333.0	1.0
COC(=O)C1=CC=CC=C1C2=C3C=CC(=N)C=C3OC4=C2C=CC(=C4)N.Cl	511.75	1.0	530.5	1.0
CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O	542.75	1.0	565.0	1.0
CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=C(C=C(C=C4)S(=O)(=O)[O-])S(=O)(=O)[O-]	553.0	1.0	571.0	1.0
